##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	Af_NaCl_0_1_EKDN230045909-1A_HVJG7DSX7_L4_1_fq_gz.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	8230135
Total Bases	1.2 Gbp
Sequences flagged as poor quality	0
Sequence length	150
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.48780451353471	37.0	37.0	37.0	37.0	37.0
2	36.479269295096614	37.0	37.0	37.0	37.0	37.0
3	36.5559026674532	37.0	37.0	37.0	37.0	37.0
4	36.59763794883073	37.0	37.0	37.0	37.0	37.0
5	36.60755564762911	37.0	37.0	37.0	37.0	37.0
6	36.60846851236341	37.0	37.0	37.0	37.0	37.0
7	36.611094836232944	37.0	37.0	37.0	37.0	37.0
8	36.63986204357523	37.0	37.0	37.0	37.0	37.0
9	36.616897657207325	37.0	37.0	37.0	37.0	37.0
10-14	36.62475952095561	37.0	37.0	37.0	37.0	37.0
15-19	36.602193256854235	37.0	37.0	37.0	37.0	37.0
20-24	36.57254992779584	37.0	37.0	37.0	37.0	37.0
25-29	36.52694336119638	37.0	37.0	37.0	37.0	37.0
30-34	36.49329608809576	37.0	37.0	37.0	37.0	37.0
35-39	36.46439690235944	37.0	37.0	37.0	37.0	37.0
40-44	36.44664076591697	37.0	37.0	37.0	37.0	37.0
45-49	36.40880124080589	37.0	37.0	37.0	37.0	37.0
50-54	36.38804354971091	37.0	37.0	37.0	37.0	37.0
55-59	36.363827470630795	37.0	37.0	37.0	37.0	37.0
60-64	36.33656762616895	37.0	37.0	37.0	37.0	37.0
65-69	36.2959040404562	37.0	37.0	37.0	37.0	37.0
70-74	36.28268780524256	37.0	37.0	37.0	37.0	37.0
75-79	36.27280147895509	37.0	37.0	37.0	37.0	37.0
80-84	36.22212432724372	37.0	37.0	37.0	37.0	37.0
85-89	36.17906792537425	37.0	37.0	37.0	37.0	37.0
90-94	36.13314566528982	37.0	37.0	37.0	37.0	37.0
95-99	36.13632546732222	37.0	37.0	37.0	37.0	37.0
100-104	36.08343576381189	37.0	37.0	37.0	37.0	37.0
105-109	36.0746956641659	37.0	37.0	37.0	37.0	37.0
110-114	36.02872438908961	37.0	37.0	37.0	37.0	37.0
115-119	36.01188653649059	37.0	37.0	37.0	37.0	37.0
120-124	35.9556112263043	37.0	37.0	37.0	37.0	37.0
125-129	35.91274106682333	37.0	37.0	37.0	37.0	37.0
130-134	35.86646000338998	37.0	37.0	37.0	37.0	37.0
135-139	35.80887086299313	37.0	37.0	37.0	37.0	37.0
140-144	35.746454098262056	37.0	37.0	37.0	37.0	37.0
145-149	35.69855347451774	37.0	37.0	37.0	37.0	37.0
150	35.69100834919476	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	0.029496899490155215
1101	2	-0.03224265436043794
1101	3	-0.02006622403540348
1101	4	-0.04689116128916737
1101	5	0.012597807461169452
1101	6	-0.017535145852754397
1101	7	0.03731195847535673
1101	8	-0.01786432117225445
1101	9	0.024294952268974157
1101	10-14	-0.02024276290182314
1101	15-19	-0.02739915674015947
1101	20-24	-0.03635789952113555
1101	25-29	-0.07415285942376926
1101	30-34	-0.08051465300259508
1101	35-39	-0.10628812802017507
1101	40-44	-0.07826853192735683
1101	45-49	-0.14916722794244208
1101	50-54	-0.12468873388319679
1101	55-59	-0.1495798471826717
1101	60-64	-0.13859843044123465
1101	65-69	-0.21468191147391735
1101	70-74	-0.18889023154700624
1101	75-79	-0.20547084690064565
1101	80-84	-0.21765472000507913
1101	85-89	-0.2870579732238099
1101	90-94	-0.22580621655680488
1101	95-99	-0.2057627505206483
1101	100-104	-0.2599800173245441
1101	105-109	-0.29398369550612813
1101	110-114	-0.30404019582366715
1101	115-119	-0.33147795593039575
1101	120-124	-0.32905679000835875
1101	125-129	-0.3079271115084623
1101	130-134	-0.30401693852554246
1101	135-139	-0.3207795807125464
1101	140-144	-0.42551224483838723
1101	145-149	-0.33076855655341575
1101	150	-0.1286322354680678
1102	1	-0.08592859201060321
1102	2	-0.02743275043879123
1102	3	-0.02204880422157629
1102	4	-0.09920332730003878
1102	5	-0.0019028176352406945
1102	6	0.13766259413016257
1102	7	0.012690066977356196
1102	8	0.08989907695774946
1102	9	-0.13402136263226794
1102	10-14	-0.07710097998410959
1102	15-19	-0.06543522583920947
1102	20-24	0.014445009767356964
1102	25-29	-0.08096376257871896
1102	30-34	-0.0645156384216179
1102	35-39	-0.1136624237794166
1102	40-44	-0.12217931006303218
1102	45-49	-0.13867187069351417
1102	50-54	-0.2021249867122421
1102	55-59	-0.21092291805225472
1102	60-64	-0.1475334181119834
1102	65-69	-0.18640793735728067
1102	70-74	-0.25297318172579253
1102	75-79	-0.2017104602848505
1102	80-84	-0.18587196345652757
1102	85-89	-0.2977480658486016
1102	90-94	-0.24703214228661352
1102	95-99	-0.22516482220297718
1102	100-104	-0.23712096678037398
1102	105-109	-0.3132452759064108
1102	110-114	-0.3214781524145707
1102	115-119	-0.27870282716973804
1102	120-124	-0.3332691800408938
1102	125-129	-0.21610968110369555
1102	130-134	-0.28752512233842253
1102	135-139	-0.21913950270787552
1102	140-144	-0.5189278499155989
1102	145-149	-0.2421341677319404
1102	150	-0.17614462803322084
1103	1	0.0533438021528454
1103	2	-0.048665492701438495
1103	3	0.03896670320497719
1103	4	0.033525848908823264
1103	5	-0.007824429884145445
1103	6	0.11858911379253811
1103	7	-0.01816120567853119
1103	8	0.08584228182590437
1103	9	-0.015196524576907677
1103	10-14	0.007070975783733502
1103	15-19	0.03381230409600988
1103	20-24	0.07993607827484794
1103	25-29	-0.04580050929074986
1103	30-34	-0.0015109927368683884
1103	35-39	-0.0086503188261986
1103	40-44	0.05187683074702676
1103	45-49	-0.0733836419426197
1103	50-54	0.043769144021240436
1103	55-59	-0.033287637021039984
1103	60-64	-0.053206388078614
1103	65-69	-0.09387374904347467
1103	70-74	-0.1665045564558909
1103	75-79	-0.1774547513271827
1103	80-84	-0.10602507475666556
1103	85-89	-0.17133963818387343
1103	90-94	-0.19570714065081063
1103	95-99	-0.15105633564929377
1103	100-104	-0.21343451778475497
1103	105-109	-0.1975677256872217
1103	110-114	-0.16232091888713285
1103	115-119	-0.1413410526490324
1103	120-124	-0.23295510557907306
1103	125-129	-0.2691948083692779
1103	130-134	-0.1959004413203047
1103	135-139	-0.08864156382153254
1103	140-144	-0.2979764660249913
1103	145-149	-0.001867204439392367
1103	150	-0.1802668553446125
1104	1	-0.08053804049043833
1104	2	-0.017711173501332667
1104	3	-0.05220846970595261
1104	4	5.904333943789197E-4
1104	5	0.18926855362950334
1104	6	-0.06587407000572654
1104	7	-0.05573492197410701
1104	8	-0.05170347043763002
1104	9	-0.15553370866102512
1104	10-14	0.017930465844074206
1104	15-19	-0.05362836554934347
1104	20-24	-0.15000681295748564
1104	25-29	-0.10399502709762487
1104	30-34	-0.14457796348649055
1104	35-39	-0.1317586763432459
1104	40-44	-0.11796998849968787
1104	45-49	-0.13982817062439068
1104	50-54	-0.22425106465257727
1104	55-59	-0.10198867666161959
1104	60-64	-0.1596621023732112
1104	65-69	-0.12381589456829545
1104	70-74	-0.18299165260865635
