##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	Af_NaCl_0_1_EKDN230045909-1A_HVJG7DSX7_L4_2_fq_gz.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	8230135
Total Bases	1.2 Gbp
Sequences flagged as poor quality	0
Sequence length	150
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.61316551915613	37.0	37.0	37.0	37.0	37.0
2	36.435809862171155	37.0	37.0	37.0	37.0	37.0
3	36.508347918958805	37.0	37.0	37.0	37.0	37.0
4	36.547772059632074	37.0	37.0	37.0	37.0	37.0
5	36.51329911356254	37.0	37.0	37.0	37.0	37.0
6	36.55690787575173	37.0	37.0	37.0	37.0	37.0
7	36.48697560854105	37.0	37.0	37.0	37.0	37.0
8	36.544255106386466	37.0	37.0	37.0	37.0	37.0
9	36.500723742684656	37.0	37.0	37.0	37.0	37.0
10-14	36.539493872214734	37.0	37.0	37.0	37.0	37.0
15-19	36.51269504084684	37.0	37.0	37.0	37.0	37.0
20-24	36.5018872958949	37.0	37.0	37.0	37.0	37.0
25-29	36.46304256248531	37.0	37.0	37.0	37.0	37.0
30-34	36.43887005498694	37.0	37.0	37.0	37.0	37.0
35-39	36.40659826357648	37.0	37.0	37.0	37.0	37.0
40-44	36.374763014215446	37.0	37.0	37.0	37.0	37.0
45-49	36.3244761112667	37.0	37.0	37.0	37.0	37.0
50-54	36.30829367926528	37.0	37.0	37.0	37.0	37.0
55-59	36.28884913795461	37.0	37.0	37.0	37.0	37.0
60-64	36.25780425229963	37.0	37.0	37.0	37.0	37.0
65-69	36.20974416580044	37.0	37.0	37.0	37.0	37.0
70-74	36.19480739987861	37.0	37.0	37.0	37.0	37.0
75-79	36.16771620392618	37.0	37.0	37.0	37.0	37.0
80-84	36.12187855970771	37.0	37.0	37.0	37.0	37.0
85-89	36.11279615704967	37.0	37.0	37.0	37.0	37.0
90-94	36.0612398703059	37.0	37.0	37.0	37.0	37.0
95-99	36.01695109496988	37.0	37.0	37.0	37.0	37.0
100-104	35.963903119450656	37.0	37.0	37.0	37.0	37.0
105-109	35.92355131477187	37.0	37.0	37.0	37.0	37.0
110-114	35.90094920678701	37.0	37.0	37.0	37.0	37.0
115-119	35.82315145498829	37.0	37.0	37.0	37.0	37.0
120-124	35.744120284782696	37.0	37.0	37.0	37.0	37.0
125-129	35.747052095743264	37.0	37.0	37.0	37.0	37.0
130-134	35.610075873603535	37.0	37.0	37.0	37.0	37.0
135-139	35.622851241200785	37.0	37.0	37.0	37.0	37.0
140-144	35.52162607296235	37.0	37.0	37.0	37.0	37.0
145-149	35.41205445597187	37.0	37.0	37.0	37.0	37.0
150	35.37557512726097	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.0041477396197890926
1101	2	0.00652492269488647
1101	3	0.007136367267342791
1101	4	-0.020192901036480748
1101	5	-0.05425620749571891
1101	6	-0.04138650983857417
1101	7	0.02626182653787623
1101	8	-0.06390426044315234
1101	9	-0.0063542439436545806
1101	10-14	0.00552067079897256
1101	15-19	-2.540971197575459E-4
1101	20-24	-0.015141965462277085
1101	25-29	-0.02895422642924217
1101	30-34	-0.04151132976441119
1101	35-39	-0.029089989300317143
1101	40-44	-0.028648866032618514
1101	45-49	-0.035098720117360926
1101	50-54	0.026007585868683236
1101	55-59	0.009474198137375822
1101	60-64	0.0349741259321803
1101	65-69	0.0059905876475312425
1101	70-74	-0.01931241647754689
1101	75-79	0.03594153443796699
1101	80-84	-0.0342933020185896
1101	85-89	-0.02750312087978557
1101	90-94	0.021465733893471395
1101	95-99	0.06300839100221367
1101	100-104	0.006531475272581133
1101	105-109	-0.005626707381921392
1101	110-114	-0.016257145781182203
1101	115-119	0.05742358770105227
1101	120-124	0.12881563118461514
1101	125-129	0.03604845598761841
1101	130-134	0.03758775784488222
1101	135-139	0.005947187690281908
1101	140-144	0.10928125585080295
1101	145-149	0.028630858001740478
1101	150	0.09494048221246487
1102	1	-0.04910679177562116
1102	2	0.03175441251030264
1102	3	-0.04369882140125725
1102	4	-0.00646426425318225
1102	5	0.011045991508275677
1102	6	-0.0430861274131118
1102	7	-0.0649762327392196
1102	8	-0.03751598232474862
1102	9	-0.07991462273135852
1102	10-14	0.008162146348837496
1102	15-19	-0.0034437695600288976
1102	20-24	-0.0151493791287578
1102	25-29	-0.06523178305054955
1102	30-34	-0.029668204788869446
1102	35-39	-0.060195891914204935
1102	40-44	-0.01168713390542564
1102	45-49	-0.016229050992521366
1102	50-54	0.028812944890447056
1102	55-59	-1.1558665907074328E-4
1102	60-64	-0.05567728669360861
1102	65-69	-0.05486129328253497
1102	70-74	-0.06476569771567142
1102	75-79	-0.04619852860122364
1102	80-84	-0.008290626651991317
1102	85-89	-0.06530241312789542
1102	90-94	0.003090708279472665
1102	95-99	-0.02091808937113626
1102	100-104	-0.04644810491129192
1102	105-109	-0.023431433248937594
1102	110-114	-0.032545984068853784
1102	115-119	0.022568994566292133
1102	120-124	0.03800968275334782
1102	125-129	-0.003829057348916365
1102	130-134	-0.0032825421323252613
1102	135-139	-0.15321000276035335
1102	140-144	0.015563486305318008
1102	145-149	-0.019858941299716548
1102	150	0.005480091222146655
1103	1	-0.08241177116448739
1103	2	0.12676193721095075
1103	3	0.08710010551099856
1103	4	0.01650243076743152
1103	5	-0.10264242045273164
1103	6	-0.001013235965096726
1103	7	0.08901840182205945
1103	8	-0.1351735102970011
1103	9	0.12786526341665194
1103	10-14	0.009444617067934757
1103	15-19	-0.020737494614003538
1103	20-24	-0.054938687510613704
1103	25-29	-0.023257039871850793
1103	30-34	-0.012649294888980478
1103	35-39	0.0992754160750593
1103	40-44	0.004736343160587353
1103	45-49	0.025883099763213124
1103	50-54	0.042167652735763284
1103	55-59	0.03651334745071466
1103	60-64	0.050499511055519974
1103	65-69	0.022852506364138492
1103	70-74	0.15504062303286759
1103	75-79	0.08269632188624598
1103	80-84	0.13210720099964846
1103	85-89	0.15482452530041968
1103	90-94	-0.01868512107339626
1103	95-99	0.0782116626408964
1103	100-104	0.03757335684360896
1103	105-109	0.05271199408862515
1103	110-114	0.06392067823566805
1103	115-119	0.026684678659727012
1103	120-124	0.09322789907212581
1103	125-129	0.012267258819377957
1103	130-134	-0.00858254867554109
1103	135-139	0.15752087468517573
1103	140-144	0.2300632572926844
1103	145-149	0.2280897598715157
1103	150	0.1332037056957418
1104	1	0.0071104167413764685
1104	2	-0.11654751276761033
1104	3	-0.12028612748531486
1104	4	0.13078459406494858
1104	5	-0.04493211539620745
1104	6	0.16684055564693523
1104	7	-0.05590736920844819
1104	8	0.16386763411546923
1104	9	0.15973431717594622
1104	10-14	0.04631687115534078
1104	15-19	0.04403863777393724
1104	20-24	0.007388044239746705
1104	25-29	0.017140422236884945
1104	30-34	0.04199814080927666
1104	35-39	0.0411922572579968
1104	40-44	0.09091080143515029
1104	45-49	-0.030649484548341377
1104	50-54	0.03434219800952576
1104	55-59	-0.027283422392876844
1104	60-64	0.07377005995840591
1104	65-69	0.07305353668336068
1104	70-74	0.11279977193201773
1104	75-79	0.04940744100681371
1104	80-84	0.08096906489560496
1104	85-89	0.03758289742090426
1104	90-94	0.10352789028000586
1104	95-99	0.026349693103057348
1104	100-104	0.14396494029137585
1104	105-109	0.08256763754100405
1104	110-114	0.0914820282148483
1104	115-119	0.11539503964431219
1104	120-124	0.18234342780983326
1104	125-129	-0.0410881143140287
1104	130-134	0.09109120428399109
1104	135-139	-0.025812810787819274
1104	140-144	0.1940982806892606
1104	145-149	0.20634840852520142
1104	150	0.11758361882081658
1105	1	0.14478415202583506
1105	2	0.04129981282052597
1105	3	0.06531760464177694
1105	4	-0.05009469817117207
1105	5	0.12712203653074283
1105	6	0.1118277651215891
1105	7	0.14245724775236823
1105	8	0.15448576766530664
1105	9	0.09578040172873159
1105	10-14	0.1247910291392742
1105	15-19	0.03208500584466378
1105	20-24	0.01410329557196377
1105	25-29	0.0307750578196746
1105	30-34	0.06079434940116357
1105	35-39	-0.08650937876939935
1105	40-44	8.252950012277438E-4
1105	45-49	-0.060821979441790575
1105	50-54	0.04766908775327039
1105	55-59	0.09189411783123091
1105	60-64	0.04152272921539435
1105	65-69	-0.04053921556705831
1105	70-74	-0.023557409126411244
1105	75-79	0.06522413377001612
1105	80-84	-0.026311546987678014
1105	85-89	0.08210243116276672
1105	90-94	-0.02809093273392449
1105	95-99	0.037459988026149915
1105	100-104	0.03914629512053125
1105	105-109	0.08243103344159408
1105	110-114	0.08345847045129062
1105	115-119	0.08662260789803611
1105	120-124	0.24693860929353662
1105	125-129	0.14834053259659896
1105	130-134	0.02655478833738556
1105	135-139	0.11245837412386095
1105	140-144	0.17480462698065224
1105	145-149	0.08314388254786564
1105	150	0.07802513357985674
1106	1	0.12670947466421012
1106	2	-0.0957074732451133
1106	3	0.03815683521066404
1106	4	-0.09695696856515923
1106	5	0.026389837611787925
1106	6	-0.09667508246120349
1106	7	-0.09785590296103663
1106	8	-0.1262747338787591
1106	9	0.05222566386158434
1106	10-14	-0.02125616157500332
1106	15-19	0.03043046979088615
1106	20-24	-0.06561721921250552
1106	25-29	-0.04416916445471486
1106	30-34	-0.02777721479999684
1106	35-39	-0.035985985482227534
1106	40-44	-0.07090325639446604
1106	45-49	-0.022170292895296484
1106	50-54	0.11068823115623161
1106	55-59	0.07077363666095238
1106	60-64	0.026917753547181178
1106	65-69	-0.039883867384475025
1106	70-74	0.017109588550106025
1106	75-79	-0.018304790460803133
1106	80-84	0.06625625550465486
1106	85-89	0.039585370684186216
1106	90-94	-0.0889854547775144
1106	95-99	0.031048147624211708
1106	100-104	0.02155555929076769
1106	105-109	-0.0420599747656496
1106	110-114	0.09462145687860612
1106	115-119	0.016006146957842304
1106	120-124	0.1306027600287507
1106	125-129	-0.07627556654214374
1106	130-134	0.05504370271489023
1106	135-139	-0.025348980709708258
1106	140-144	0.014267929150307168
1106	145-149	0.18626551070577335
1106	150	0.0019467535266670666
1107	1	0.0782586167933772
1107	2	0.02695625073121022
1107	3	0.15378789961695105
1107	4	-0.024052151887786977
1107	5	-0.10329139478289306
1107	6	-0.046380834469673005
1107	7	0.13704502744593583
1107	8	0.10249755567490126
1107	9	-0.013618716134345732
1107	10-14	0.1441812837388099
1107	15-19	0.08651094260783054
1107	20-24	0.0890124045717684
1107	25-29	-0.06105411292186602
1107	30-34	0.10913566229007188
1107	35-39	0.10775450559184918
1107	40-44	0.04113546994921791
1107	45-49	0.055752585217483386
1107	50-54	0.13284073002304808
1107	55-59	-4.2364522244042746E-4
1107	60-64	0.12350988075625224
1107	65-69	0.004900916818932899
1107	70-74	0.07907577875513994
1107	75-79	0.09873381593626362
1107	80-84	0.02432190797005518
1107	85-89	0.0036433036378156203
1107	90-94	0.15068253298540668
1107	95-99	0.21229329452093992
1107	100-104	0.06809787708868953
1107	105-109	0.07455490442283974
1107	110-114	0.06415148077955024
1107	115-119	0.13392756045928422
1107	120-124	0.3510176743174185
1107	125-129	0.1962754707435792
1107	130-134	0.17170807566554203
1107	135-139	0.0676497983599802
1107	140-144	0.3189974874058521
1107	145-149	0.24288738467596716
1107	150	0.2388678374905595
1108	1	0.01654413944326194
1108	2	0.14452409718668235
1108	3	0.060224283891017194
1108	4	-0.03822251614327854
1108	5	0.16649500496945535
1108	6	-0.021935472793892075
1108	7	0.13434148807951374
1108	8	0.19982497286610368
1108	9	0.0017099393191699619
1108	10-14	0.09245958319191061
1108	15-19	0.057875610856719106
1108	20-24	0.03763690152771204
1108	25-29	0.046901722389243616
1108	30-34	0.06544151307947033
1108	35-39	0.05310947411935274
1108	40-44	-0.00998051395337285
1108	45-49	0.0018670212921918505
1108	50-54	-0.016886852269799135
1108	55-59	0.044222418135319685
1108	60-64	0.05235055767298036
1108	65-69	0.04582651789208825
1108	70-74	0.04870378412094567
1108	75-79	-0.029825672248648516
1108	80-84	0.06835606337198641
1108	85-89	-0.10463396393003421
1108	90-94	-0.01521004775961643
1108	95-99	0.05914552855251998
1108	100-104	0.0015474694940280642
1108	105-109	-0.08567004656259769
1108	110-114	0.09252316584817066
1108	115-119	0.09592322654120977
1108	120-124	0.07226470764732085
1108	125-129	0.14780472469054473
1108	130-134	-0.02967568246055663
1108	135-139	-0.00656700073196248
1108	140-144	0.05722677230937023
1108	145-149	0.12771712360900267
1108	150	0.13728905305138994
1109	1	-0.08750242374964756
1109	2	-0.022549073545022225
1109	3	-0.05790210191829459
1109	4	-0.09293426780624969
1109	5	0.039000548206708174
1109	6	-0.08379800051007891
1109	7	0.10152552355623357
1109	8	-0.0046096169343385895
1109	9	-0.2035007036963563
1109	10-14	-0.09859363188569858
1109	15-19	-0.0336875820479392
1109	20-24	-0.02781764392683783
1109	25-29	-0.12427344390788164
1109	30-34	-0.04533454013561311
1109	35-39	0.01622477345416229
1109	40-44	0.003689109106488786
1109	45-49	-0.06951878802045286
1109	50-54	0.014177449282307464
1109	55-59	-0.035300863461138476
1109	60-64	0.02752794126499225
1109	65-69	-0.04333091004581746
1109	70-74	-2.208278524520324E-4
1109	75-79	0.07010780890433921
1109	80-84	0.04056227179769678
1109	85-89	-0.03076478432915053
1109	90-94	-0.011074792770706665
