##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	Cutadapt on data 2 and data 1_ Read 1 Output.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	8228499
Total Bases	1.2 Gbp
Sequences flagged as poor quality	0
Sequence length	20-150
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.49642237302332	37.0	37.0	37.0	37.0	37.0
2	36.48654159160741	37.0	37.0	37.0	37.0	37.0
3	36.558475124077916	37.0	37.0	37.0	37.0	37.0
4	36.5974809014378	37.0	37.0	37.0	37.0	37.0
5	36.60741588471968	37.0	37.0	37.0	37.0	37.0
6	36.6080867239578	37.0	37.0	37.0	37.0	37.0
7	36.61104230552863	37.0	37.0	37.0	37.0	37.0
8	36.6396093625338	37.0	37.0	37.0	37.0	37.0
9	36.61680654029368	37.0	37.0	37.0	37.0	37.0
10-14	36.62435345741672	37.0	37.0	37.0	37.0	37.0
15-19	36.602083344726665	37.0	37.0	37.0	37.0	37.0
20-24	36.571956553882046	37.0	37.0	37.0	37.0	37.0
25-29	36.526632155181325	37.0	37.0	37.0	37.0	37.0
30-34	36.49400745124304	37.0	37.0	37.0	37.0	37.0
35-39	36.46586425351044	37.0	37.0	37.0	37.0	37.0
40-44	36.44843849074526	37.0	37.0	37.0	37.0	37.0
45-49	36.41157870265198	37.0	37.0	37.0	37.0	37.0
50-54	36.39124458516647	37.0	37.0	37.0	37.0	37.0
55-59	36.36790878943587	37.0	37.0	37.0	37.0	37.0
60-64	36.34099323166122	37.0	37.0	37.0	37.0	37.0
65-69	36.30174479662394	37.0	37.0	37.0	37.0	37.0
70-74	36.28932338255074	37.0	37.0	37.0	37.0	37.0
75-79	36.279799997646975	37.0	37.0	37.0	37.0	37.0
80-84	36.229941083746986	37.0	37.0	37.0	37.0	37.0
85-89	36.18772788388812	37.0	37.0	37.0	37.0	37.0
90-94	36.14370060918254	37.0	37.0	37.0	37.0	37.0
95-99	36.1464633274952	37.0	37.0	37.0	37.0	37.0
100-104	36.095063006432994	37.0	37.0	37.0	37.0	37.0
105-109	36.086860405098186	37.0	37.0	37.0	37.0	37.0
110-114	36.04230294286809	37.0	37.0	37.0	37.0	37.0
115-119	36.025543491178254	37.0	37.0	37.0	37.0	37.0
120-124	35.9712331971574	37.0	37.0	37.0	37.0	37.0
125-129	35.9293894658537	37.0	37.0	37.0	37.0	37.0
130-134	35.88440871814039	37.0	37.0	37.0	37.0	37.0
135-139	35.830636945658625	37.0	37.0	37.0	37.0	37.0
140-144	35.774519375812005	37.0	37.0	37.0	37.0	37.0
145-149	35.76982821583531	37.0	37.0	37.0	37.0	37.0
150	36.40513772126741	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	0.02895245566381277
1101	2	-0.041720505847266054
1101	3	-0.024146497145657975
1101	4	-0.04634488741531584
1101	5	0.013088603963673506
1101	6	-0.017662711180179258
1101	7	0.041634210334521526
1101	8	-0.013547528963535171
1101	9	0.014948235271496912
1101	10-14	-0.020350336429494575
1101	15-19	-0.022565212535866408
1101	20-24	-0.03907419846172644
1101	25-29	-0.07417523752238964
1101	30-34	-0.08032254190538879
1101	35-39	-0.10655143542116718
1101	40-44	-0.07346789189340086
1101	45-49	-0.1451292726247999
1101	50-54	-0.12619961989426542
1101	55-59	-0.1381826359958609
1101	60-64	-0.13760073970101416
1101	65-69	-0.21460345244295098
1101	70-74	-0.18473709629746793
1101	75-79	-0.2038076633753505
1101	80-84	-0.2127057575697222
1101	85-89	-0.2809759638893041
1101	90-94	-0.22463741879752064
1101	95-99	-0.20441063929671088
1101	100-104	-0.2603043169419621
1101	105-109	-0.2827557139885073
1101	110-114	-0.2990187750201585
1101	115-119	-0.32575930500665606
1101	120-124	-0.32372772928162163
1101	125-129	-0.31020718300840144
1101	130-134	-0.30074704251750006
1101	135-139	-0.318053542404904
1101	140-144	-0.41317500589232026
1101	145-149	-0.29874746872791036
1101	150	-0.04206070002014428
1102	1	-0.016431599267335173
1102	2	-0.020696760204458542
1102	3	-0.06929396042806246
1102	4	-0.1026333317602024
1102	5	-0.03395538994271163
1102	6	0.0695666504418142
1102	7	0.07603666135955933
1102	8	0.0524870874096095
1102	9	-0.09145552161056258
1102	10-14	-0.01812791691970972
1102	15-19	-0.029801625877823312
1102	20-24	0.018486041068904058
1102	25-29	-0.04554919001314772
1102	30-34	-0.06946066186444
1102	35-39	-0.07627289768673506
1102	40-44	-0.06555373929840158
1102	45-49	-0.0669585116206477
1102	50-54	-0.12001846726882803
1102	55-59	-0.16109225658938442
1102	60-64	-0.16391788372339278
1102	65-69	-0.1512900733297471
1102	70-74	-0.1941592413085047
1102	75-79	-0.14728579935819397
1102	80-84	-0.12269580204579
1102	85-89	-0.1789698833661575
1102	90-94	-0.16901628770553856
1102	95-99	-0.13427110314835744
1102	100-104	-0.18294824318968494
1102	105-109	-0.1492056435801885
1102	110-114	-0.2613576425922304
1102	115-119	-0.19282255413075688
1102	120-124	-0.21486996208694364
1102	125-129	-0.1467321246449984
1102	130-134	-0.2654690102996966
1102	135-139	-0.20175956595100786
1102	140-144	-0.3797184726337193
1102	145-149	-0.22872886163010264
1102	150	-0.09385826461005564
1103	1	0.173122937592062
1103	2	-0.048318823802745214
1103	3	0.13600369811803859
1103	4	0.12510859244797246
1103	5	0.1871203449364387
1103	6	0.10270816545511252
1103	7	-0.007124952575388477
1103	8	-0.051315808977491884
1103	9	-0.09051625643616035
1103	10-14	0.010050263826258288
1103	15-19	-0.06232478192156776
1103	20-24	0.04027022769965782
1103	25-29	0.05902744438436969
