##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	Cutadapt on data 2 and data 1_ Read 2 Output.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	8228499
Total Bases	1.2 Gbp
Sequences flagged as poor quality	0
Sequence length	20-150
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.617914761853896	37.0	37.0	37.0	37.0	37.0
2	36.44638153325412	37.0	37.0	37.0	37.0	37.0
3	36.51220520291732	37.0	37.0	37.0	37.0	37.0
4	36.546583526351526	37.0	37.0	37.0	37.0	37.0
5	36.514050861524076	37.0	37.0	37.0	37.0	37.0
6	36.55650988108524	37.0	37.0	37.0	37.0	37.0
7	36.48981557875865	37.0	37.0	37.0	37.0	37.0
8	36.546715385151046	37.0	37.0	37.0	37.0	37.0
9	36.50404745750106	37.0	37.0	37.0	37.0	37.0
10-14	36.54208129575029	37.0	37.0	37.0	37.0	37.0
15-19	36.516811073319694	37.0	37.0	37.0	37.0	37.0
20-24	36.50600666692943	37.0	37.0	37.0	37.0	37.0
25-29	36.468365810347095	37.0	37.0	37.0	37.0	37.0
30-34	36.445078028731515	37.0	37.0	37.0	37.0	37.0
35-39	36.4132323316555	37.0	37.0	37.0	37.0	37.0
40-44	36.38203266211087	37.0	37.0	37.0	37.0	37.0
45-49	36.33322519110665	37.0	37.0	37.0	37.0	37.0
50-54	36.31783466616183	37.0	37.0	37.0	37.0	37.0
55-59	36.29867819936734	37.0	37.0	37.0	37.0	37.0
60-64	36.26840012299208	37.0	37.0	37.0	37.0	37.0
65-69	36.22162911163392	37.0	37.0	37.0	37.0	37.0
70-74	36.20736947759318	37.0	37.0	37.0	37.0	37.0
75-79	36.18087312628296	37.0	37.0	37.0	37.0	37.0
80-84	36.13611446270754	37.0	37.0	37.0	37.0	37.0
85-89	36.12730335155088	37.0	37.0	37.0	37.0	37.0
90-94	36.076786743750304	37.0	37.0	37.0	37.0	37.0
95-99	36.03291051944221	37.0	37.0	37.0	37.0	37.0
100-104	35.98110582028927	37.0	37.0	37.0	37.0	37.0
105-109	35.94179748092323	37.0	37.0	37.0	37.0	37.0
110-114	35.919015439049716	37.0	37.0	37.0	37.0	37.0
115-119	35.84242660623206	37.0	37.0	37.0	37.0	37.0
120-124	35.76565212753158	37.0	37.0	37.0	37.0	37.0
125-129	35.76788849851589	37.0	37.0	37.0	37.0	37.0
130-134	35.63466379489381	37.0	37.0	37.0	37.0	37.0
135-139	35.64822543110586	37.0	37.0	37.0	37.0	37.0
140-144	35.55124482160084	37.0	37.0	37.0	37.0	37.0
145-149	35.482077134266184	37.0	37.0	37.0	37.0	37.0
150	36.256480822948554	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.012159915264547294
1101	2	0.017650713757021208
1101	3	0.006668364880447086
1101	4	-0.0066579624777673985
1101	5	-0.04963620875225416
1101	6	-0.03647244937818783
1101	7	0.0304233202579951
1101	8	-0.06924865851423334
1101	9	-0.009939763816859681
1101	10-14	0.006031026264999184
1101	15-19	0.002371834391787786
1101	20-24	-0.008827824381178573
1101	25-29	-0.035470624086080704
1101	30-34	-0.039139002228552044
1101	35-39	-0.02809306673216838
1101	40-44	-0.02743317986548277
1101	45-49	-0.032750692233264544
1101	50-54	0.022152589042576665
1101	55-59	0.0033815425053234094
1101	60-64	0.03740173457670437
1101	65-69	0.004843196971037855
1101	70-74	-0.018317897013865547
1101	75-79	0.030023888110022767
1101	80-84	-0.03127991660949192
1101	85-89	-0.02545791703735034
1101	90-94	0.026171893078036135
1101	95-99	0.06072838485344789
1101	100-104	0.014193437184125912
1101	105-109	-2.1189641020669114E-4
1101	110-114	-0.01275985067603358
1101	115-119	0.060784818167483934
1101	120-124	0.12967465271229628
1101	125-129	0.029155275501551614
1101	130-134	0.0380795283642783
1101	135-139	0.0019850567657186957
1101	140-144	0.10706714406908446
1101	145-149	0.01638519387323356
1101	150	0.07697567343350187
1102	1	-0.09375227372252937
1102	2	0.07426849920050671
1102	3	0.046724849985849914
1102	4	-0.03516437930702665
1102	5	-0.094524410855378
1102	6	-0.11288418720081239
1102	7	-0.08131387521152789
1102	8	-0.04678603058745523
1102	9	-0.09641792393934878
1102	10-14	-0.04269025973949425
1102	15-19	-0.012051004251148356
1102	20-24	-0.03831800212346792
1102	25-29	-0.11643010753958549
1102	30-34	-0.025318041419296833
1102	35-39	-0.04947525488255167
1102	40-44	-0.022149658871576605
1102	45-49	-0.0053637569815663255
1102	50-54	-0.011887181671262681
1102	55-59	-0.0244286908617255
1102	60-64	-0.07924291766954639
1102	65-69	-0.04577940615375553
1102	70-74	-0.029780565815720195
1102	75-79	-0.07045277495372204
1102	80-84	-0.0014049973926688608
1102	85-89	-0.0665020327264969
1102	90-94	-0.028716311704044983
1102	95-99	0.008543187737984681
1102	100-104	-0.026831623652824987
1102	105-109	-0.11708916418655946
1102	110-114	-0.030280500445300618
1102	115-119	-0.043536339173535055
1102	120-124	-0.006282594022003707
1102	125-129	-0.022413417372781907
1102	130-134	-0.02813848801608998
1102	135-139	-0.1630332698362409
1102	140-144	-0.033937533696303035
1102	145-149	0.06737856372880913
1102	150	0.11034280010843389
1103	1	0.05322750388699404
1103	2	-7.994227514060981E-4
1103	3	0.10807138189295529
1103	4	-0.014767779379305068
1103	5	-0.25591452331349274
1103	6	0.0017309705996808589
1103	7	0.042702954886905786
1103	8	0.0612170612073939
1103	9	0.01605372474164568
1103	10-14	0.012612726571248345
1103	15-19	0.006750761747788658
1103	20-24	-0.011370450442747426
1103	25-29	-0.06162573234543345
1103	30-34	-0.028439153067260747
